id,title,location,price,rooms,petsAllowed,ownerId,description,availabilityDate,imageUrl,amenities,rules
p_001,Spacious 3-Room in TTDI,TTDI,3307,3,True,o_103,Beautiful 3 room unit located in TTDI. Pet-friendly environment! Great for families or students.,2024-05-03,/mock9.jpg,Balcony;Washing Machine;Gym;Pool;Aircon,No smoking inside;Keep common areas clean;No subletting;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_002,Cozy 5-Room in TTDI,TTDI,4473,5,False,o_110,Beautiful 5 room unit located in TTDI. Newly renovated and close to public transport.,2024-07-01,/mock4.jpg,Parking;Washing Machine;Fridge;WiFi,Keep common areas clean;No loud music after 10PM;No subletting;Strictly NO pets allowed
p_003,Spacious 5-Room in Shah Alam,Shah Alam,1433,5,True,o_107,Beautiful 5 room unit located in Shah Alam. Pet-friendly environment! Great for families or students.,2024-05-06,/mock3.jpg,Gym;Washing Machine;24/7 Security;Balcony,Pay rent by 1st of the month;Keep common areas clean;Register visitors at guardhouse;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_004,Cozy 3-Room in KLCC,KLCC,3779,3,True,o_107,Beautiful 3 room unit located in KLCC. Pet-friendly environment! Great for families or students.,2024-06-26,/mock6.jpg,Fridge;Pool;24/7 Security;Washing Machine;Parking,Register visitors at guardhouse;No smoking inside;No subletting;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_005,Luxury 5-Room in TTDI,TTDI,1574,5,False,o_105,Beautiful 5 room unit located in TTDI. Newly renovated and close to public transport.,2024-05-22,/mock2.jpg,Balcony;Pool;Parking;Gym,No loud music after 10PM;No smoking inside;Register visitors at guardhouse;Strictly NO pets allowed
p_006,Spacious 1-Room in Cheras,Cheras,2864,1,True,o_105,Beautiful 1 room unit located in Cheras. Pet-friendly environment! Great for families or students.,2024-06-02,/mock3.jpg,Balcony;Gym;24/7 Security;Pool;Aircon;WiFi;Washing Machine,No smoking inside;No subletting;Keep common areas clean;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_007,Luxury 5-Room in Mont Kiara,Mont Kiara,2504,5,False,o_109,Beautiful 5 room unit located in Mont Kiara. Newly renovated and close to public transport.,2024-06-26,/mock9.jpg,Fridge;Balcony;Gym;Aircon,No smoking inside;No loud music after 10PM;No subletting;Strictly NO pets allowed
p_008,Spacious 4-Room in Universiti Malaya,Universiti Malaya,1326,4,False,o_104,Beautiful 4 room unit located in Universiti Malaya. Newly renovated and close to public transport.,2024-06-28,/mock7.jpg,Fridge;Washing Machine;Balcony;WiFi;Aircon;Gym,Pay rent by 1st of the month;No loud music after 10PM;Register visitors at guardhouse;Strictly NO pets allowed
p_009,Spacious 5-Room in Mont Kiara,Mont Kiara,2619,5,True,o_106,Beautiful 5 room unit located in Mont Kiara. Pet-friendly environment! Great for families or students.,2024-07-12,/mock8.jpg,Pool;Washing Machine;WiFi;Aircon;Gym;Balcony,No subletting;Pay rent by 1st of the month;No loud music after 10PM;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_010,Spacious 4-Room in Subang Jaya,Subang Jaya,2956,4,False,o_101,Beautiful 4 room unit located in Subang Jaya. Newly renovated and close to public transport.,2024-07-22,/mock6.jpg,Washing Machine;WiFi;Aircon;Fridge;Pool;24/7 Security;Parking,No loud music after 10PM;No subletting;No smoking inside;Strictly NO pets allowed
p_011,Cozy 4-Room in Subang Jaya,Subang Jaya,2608,4,True,o_107,Beautiful 4 room unit located in Subang Jaya. Pet-friendly environment! Great for families or students.,2024-05-08,/mock9.jpg,WiFi;Fridge;Washing Machine;Balcony,Pay rent by 1st of the month;No subletting;No smoking inside;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_012,Luxury 5-Room in Shah Alam,Shah Alam,1080,5,False,o_110,Beautiful 5 room unit located in Shah Alam. Newly renovated and close to public transport.,2024-05-17,/mock7.jpg,Pool;Parking;Balcony;Fridge,No smoking inside;Pay rent by 1st of the month;Register visitors at guardhouse;Strictly NO pets allowed
p_013,Cozy 1-Room in Cheras,Cheras,2381,1,False,o_101,Beautiful 1 room unit located in Cheras. Newly renovated and close to public transport.,2024-05-02,/mock5.jpg,WiFi;Pool;Washing Machine;Parking,Pay rent by 1st of the month;Keep common areas clean;No subletting;Strictly NO pets allowed
p_014,Spacious 5-Room in TTDI,TTDI,4086,5,True,o_107,Beautiful 5 room unit located in TTDI. Pet-friendly environment! Great for families or students.,2024-06-06,/mock2.jpg,Washing Machine;24/7 Security;Aircon;Pool;WiFi;Gym;Parking;Fridge,Pay rent by 1st of the month;No smoking inside;No loud music after 10PM;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_015,Luxury 4-Room in TTDI,TTDI,3731,4,False,o_106,Beautiful 4 room unit located in TTDI. Newly renovated and close to public transport.,2024-07-22,/mock9.jpg,24/7 Security;Aircon;WiFi;Gym;Parking;Pool,Keep common areas clean;No smoking inside;No loud music after 10PM;Strictly NO pets allowed
p_016,Modern 4-Room in TTDI,TTDI,3327,4,False,o_101,Beautiful 4 room unit located in TTDI. Newly renovated and close to public transport.,2024-06-07,/mock8.jpg,Gym;Balcony;Washing Machine;Pool;Aircon,No loud music after 10PM;No subletting;No smoking inside;Strictly NO pets allowed
p_017,Cozy 3-Room in Subang Jaya,Subang Jaya,3321,3,False,o_110,Beautiful 3 room unit located in Subang Jaya. Newly renovated and close to public transport.,2024-06-23,/mock6.jpg,Parking;Gym;24/7 Security;WiFi;Pool,Register visitors at guardhouse;No loud music after 10PM;Pay rent by 1st of the month;Strictly NO pets allowed
p_018,Cozy 2-Room in Cheras,Cheras,2090,2,False,o_109,Beautiful 2 room unit located in Cheras. Newly renovated and close to public transport.,2024-07-19,/mock5.jpg,Pool;Gym;Washing Machine;WiFi;Balcony;24/7 Security;Fridge,Keep common areas clean;No subletting;Pay rent by 1st of the month;Strictly NO pets allowed
p_019,Spacious 5-Room in Mont Kiara,Mont Kiara,1088,5,False,o_110,Beautiful 5 room unit located in Mont Kiara. Newly renovated and close to public transport.,2024-05-15,/mock9.jpg,Aircon;Pool;Balcony;24/7 Security;Fridge;Gym;Parking,No subletting;Pay rent by 1st of the month;No smoking inside;Strictly NO pets allowed
p_020,Spacious 2-Room in KLCC,KLCC,2669,2,True,o_107,Beautiful 2 room unit located in KLCC. Pet-friendly environment! Great for families or students.,2024-05-08,/mock4.jpg,24/7 Security;Gym;Parking;Pool,No smoking inside;Register visitors at guardhouse;No loud music after 10PM;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_021,Cozy 3-Room in TTDI,TTDI,3993,3,True,o_101,Beautiful 3 room unit located in TTDI. Pet-friendly environment! Great for families or students.,2024-06-08,/mock7.jpg,Aircon;Pool;WiFi;Gym;Balcony;Parking,No smoking inside;Pay rent by 1st of the month;No subletting;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_022,Cozy 2-Room in Bangsar,Bangsar,4255,2,False,o_107,Beautiful 2 room unit located in Bangsar. Newly renovated and close to public transport.,2024-07-13,/mock5.jpg,WiFi;Aircon;Pool;Fridge;Gym;Washing Machine;Parking;Balcony,Register visitors at guardhouse;Pay rent by 1st of the month;No smoking inside;Strictly NO pets allowed
p_023,Pet-Friendly 2-Room in Subang Jaya,Subang Jaya,2105,2,True,o_102,Beautiful 2 room unit located in Subang Jaya. Pet-friendly environment! Great for families or students.,2024-07-17,/mock8.jpg,Aircon;Balcony;Parking;Washing Machine;24/7 Security;Fridge;Gym;Pool,Pay rent by 1st of the month;Keep common areas clean;No smoking inside;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_024,Pet-Friendly 2-Room in TTDI,TTDI,3569,2,True,o_105,Beautiful 2 room unit located in TTDI. Pet-friendly environment! Great for families or students.,2024-07-09,/mock5.jpg,Washing Machine;WiFi;Gym;Aircon;24/7 Security;Balcony;Pool;Fridge,No loud music after 10PM;No subletting;Register visitors at guardhouse;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_025,Cozy 1-Room in Petaling Jaya,Petaling Jaya,4168,1,False,o_102,Beautiful 1 room unit located in Petaling Jaya. Newly renovated and close to public transport.,2024-06-17,/mock6.jpg,WiFi;24/7 Security;Parking;Balcony;Aircon;Gym;Pool,No loud music after 10PM;Keep common areas clean;No subletting;Strictly NO pets allowed
p_026,Spacious 5-Room in Petaling Jaya,Petaling Jaya,3783,5,False,o_105,Beautiful 5 room unit located in Petaling Jaya. Newly renovated and close to public transport.,2024-07-18,/mock4.jpg,24/7 Security;Aircon;Balcony;WiFi;Washing Machine;Parking,No loud music after 10PM;No smoking inside;Pay rent by 1st of the month;Strictly NO pets allowed
p_027,Luxury 2-Room in Cheras,Cheras,3154,2,False,o_102,Beautiful 2 room unit located in Cheras. Newly renovated and close to public transport.,2024-05-17,/mock2.jpg,Pool;Parking;24/7 Security;Gym;Washing Machine;Fridge,Pay rent by 1st of the month;No loud music after 10PM;No smoking inside;Strictly NO pets allowed
p_028,Spacious 4-Room in Subang Jaya,Subang Jaya,1347,4,True,o_109,Beautiful 4 room unit located in Subang Jaya. Pet-friendly environment! Great for families or students.,2024-07-18,/mock8.jpg,24/7 Security;Pool;Washing Machine;Balcony,No smoking inside;Keep common areas clean;Pay rent by 1st of the month;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_029,Spacious 5-Room in Shah Alam,Shah Alam,3069,5,True,o_106,Beautiful 5 room unit located in Shah Alam. Pet-friendly environment! Great for families or students.,2024-07-16,/mock6.jpg,24/7 Security;Pool;Gym;Fridge,Register visitors at guardhouse;No loud music after 10PM;Keep common areas clean;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_030,Cozy 5-Room in Mont Kiara,Mont Kiara,1866,5,False,o_101,Beautiful 5 room unit located in Mont Kiara. Newly renovated and close to public transport.,2024-05-18,/mock7.jpg,Balcony;Parking;Fridge;Aircon,Register visitors at guardhouse;No smoking inside;Pay rent by 1st of the month;Strictly NO pets allowed
p_031,Cozy 3-Room in Mont Kiara,Mont Kiara,1887,3,True,o_104,Beautiful 3 room unit located in Mont Kiara. Pet-friendly environment! Great for families or students.,2024-05-01,/mock7.jpg,Washing Machine;Aircon;24/7 Security;Parking;Fridge,No subletting;Register visitors at guardhouse;No smoking inside;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_032,Spacious 5-Room in KLCC,KLCC,3445,5,True,o_104,Beautiful 5 room unit located in KLCC. Pet-friendly environment! Great for families or students.,2024-05-11,/mock8.jpg,Balcony;Fridge;Gym;Aircon;Pool;Washing Machine,Register visitors at guardhouse;No smoking inside;No loud music after 10PM;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_033,Cozy 5-Room in Bangsar,Bangsar,1775,5,True,o_106,Beautiful 5 room unit located in Bangsar. Pet-friendly environment! Great for families or students.,2024-05-30,/mock1.jpg,Aircon;Parking;Fridge;WiFi;Gym,No loud music after 10PM;Pay rent by 1st of the month;Keep common areas clean;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_034,Cozy 1-Room in Shah Alam,Shah Alam,2409,1,False,o_107,Beautiful 1 room unit located in Shah Alam. Newly renovated and close to public transport.,2024-05-21,/mock1.jpg,Pool;Fridge;Parking;Washing Machine;Aircon;Gym;WiFi;Balcony,No smoking inside;No loud music after 10PM;Register visitors at guardhouse;Strictly NO pets allowed
p_035,Cozy 2-Room in Cheras,Cheras,3284,2,True,o_102,Beautiful 2 room unit located in Cheras. Pet-friendly environment! Great for families or students.,2024-06-24,/mock4.jpg,Washing Machine;Aircon;Gym;Pool;Balcony;Fridge,No loud music after 10PM;Pay rent by 1st of the month;No smoking inside;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_036,Spacious 4-Room in Bangsar,Bangsar,4244,4,False,o_107,Beautiful 4 room unit located in Bangsar. Newly renovated and close to public transport.,2024-06-15,/mock6.jpg,24/7 Security;Balcony;Gym;Washing Machine;Parking,Pay rent by 1st of the month;No subletting;Keep common areas clean;Strictly NO pets allowed
p_037,Cozy 4-Room in Bangsar,Bangsar,3150,4,True,o_109,Beautiful 4 room unit located in Bangsar. Pet-friendly environment! Great for families or students.,2024-07-03,/mock2.jpg,Washing Machine;Aircon;Pool;WiFi;24/7 Security;Parking;Gym;Fridge,Register visitors at guardhouse;Keep common areas clean;No smoking inside;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_038,Pet-Friendly 1-Room in Shah Alam,Shah Alam,3439,1,True,o_104,Beautiful 1 room unit located in Shah Alam. Pet-friendly environment! Great for families or students.,2024-07-19,/mock1.jpg,WiFi;Fridge;Balcony;Parking;Washing Machine;Aircon,Register visitors at guardhouse;Pay rent by 1st of the month;No subletting;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_039,Spacious 5-Room in Cheras,Cheras,3341,5,False,o_104,Beautiful 5 room unit located in Cheras. Newly renovated and close to public transport.,2024-07-08,/mock3.jpg,WiFi;24/7 Security;Pool;Washing Machine;Fridge;Aircon;Gym,Register visitors at guardhouse;No loud music after 10PM;No subletting;Strictly NO pets allowed
p_040,Cozy 1-Room in Mont Kiara,Mont Kiara,2892,1,False,o_107,Beautiful 1 room unit located in Mont Kiara. Newly renovated and close to public transport.,2024-07-18,/mock9.jpg,Pool;Balcony;Aircon;24/7 Security;Gym,Pay rent by 1st of the month;No loud music after 10PM;No subletting;Strictly NO pets allowed
p_041,Spacious 1-Room in Mont Kiara,Mont Kiara,4486,1,False,o_110,Beautiful 1 room unit located in Mont Kiara. Newly renovated and close to public transport.,2024-07-15,/mock1.jpg,Fridge;Aircon;24/7 Security;Washing Machine;Pool,No loud music after 10PM;Keep common areas clean;No smoking inside;Strictly NO pets allowed
p_042,Pet-Friendly 2-Room in KLCC,KLCC,929,2,True,o_104,Beautiful 2 room unit located in KLCC. Pet-friendly environment! Great for families or students.,2024-07-13,/mock10.jpg,Fridge;WiFi;Gym;Aircon;Parking;24/7 Security;Pool;Washing Machine,Keep common areas clean;No smoking inside;Register visitors at guardhouse;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_043,Luxury 1-Room in Bangsar,Bangsar,3914,1,False,o_109,Beautiful 1 room unit located in Bangsar. Newly renovated and close to public transport.,2024-05-26,/mock8.jpg,Pool;Washing Machine;Aircon;Parking,No loud music after 10PM;No subletting;Register visitors at guardhouse;Strictly NO pets allowed
p_044,Luxury 3-Room in Petaling Jaya,Petaling Jaya,1482,3,False,o_105,Beautiful 3 room unit located in Petaling Jaya. Newly renovated and close to public transport.,2024-07-11,/mock5.jpg,Pool;Fridge;WiFi;Washing Machine,No subletting;Keep common areas clean;No loud music after 10PM;Strictly NO pets allowed
p_045,Modern 3-Room in Universiti Malaya,Universiti Malaya,3983,3,False,o_103,Beautiful 3 room unit located in Universiti Malaya. Newly renovated and close to public transport.,2024-06-25,/mock1.jpg,Pool;Parking;Balcony;WiFi;24/7 Security;Fridge,No loud music after 10PM;No smoking inside;Pay rent by 1st of the month;Strictly NO pets allowed
p_046,Modern 1-Room in Universiti Malaya,Universiti Malaya,3097,1,False,o_107,Beautiful 1 room unit located in Universiti Malaya. Newly renovated and close to public transport.,2024-05-16,/mock9.jpg,Pool;Balcony;Parking;Aircon,Keep common areas clean;Pay rent by 1st of the month;Register visitors at guardhouse;Strictly NO pets allowed
p_047,Spacious 5-Room in KLCC,KLCC,2678,5,True,o_109,Beautiful 5 room unit located in KLCC. Pet-friendly environment! Great for families or students.,2024-07-10,/mock8.jpg,Aircon;24/7 Security;Gym;Washing Machine;Parking;WiFi;Balcony;Fridge,Keep common areas clean;Register visitors at guardhouse;No smoking inside;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_048,Luxury 5-Room in Mont Kiara,Mont Kiara,3441,5,False,o_104,Beautiful 5 room unit located in Mont Kiara. Newly renovated and close to public transport.,2024-05-03,/mock3.jpg,WiFi;Fridge;Gym;Parking,No smoking inside;No subletting;Keep common areas clean;Strictly NO pets allowed
p_049,Cozy 4-Room in Mont Kiara,Mont Kiara,1738,4,True,o_107,Beautiful 4 room unit located in Mont Kiara. Pet-friendly environment! Great for families or students.,2024-06-28,/mock7.jpg,Balcony;Gym;24/7 Security;Fridge;Washing Machine,No subletting;Keep common areas clean;No loud music after 10PM;Pets allowed with RM500 deposit;Keep pets leashed in common areas
p_050,Cozy 2-Room in TTDI,TTDI,3884,2,True,o_101,Beautiful 2 room unit located in TTDI. Pet-friendly environment! Great for families or students.,2024-05-16,/mock2.jpg,Aircon;Parking;Balcony;Pool,Keep common areas clean;Register visitors at guardhouse;No loud music after 10PM;Pets allowed with RM500 deposit;Keep pets leashed in common areas
